accuracy,auroc,experiment_id,macro_f1,method,rows,runtime_seconds,safe_f1,safe_precision,safe_recall,safe_support,unsafe_f1,unsafe_precision,unsafe_recall,unsafe_support
0.48888,0.524488312415775,rule_safety_keywords,0.4480700295242882,rule,50000,0.218,0.5981508270960437,0.4604880883207437,0.8532208864166517,5573,0.2979892319525327,0.6237350505979761,0.1957557384148982,6927
0.7752,0.8592774340368556,tfidf_word_lr_prompt_response,0.7743212611538304,tfidf_word,50000,4.269,0.7602389078498294,0.7247437774524158,0.7993899156648124,5573,0.7884036144578314,0.824020147961593,0.7557384148982244,6927
0.75888,0.8406049698619353,tfidf_char_lr_prompt_response,0.7579615706575544,tfidf_char,50000,14.322,0.7430520034100597,0.7078122462238103,0.7819845684550512,5573,0.772871137905049,0.8084502601292763,0.7402916125306771,6927
